SEQUENCE_GISAID_STRAIN,SEQUENCE_REPOSITORY,SEQUENCE_GISAID_ACCESSION,SEQUENCE_GENBANK_ACCESSION,SEQUENCE_SPECIMEN_COLLECTION_DATE,COUNTY_NAME
USA/WA-CDC-LC1033536/2023,GISAID; GenBank,EPI_ISL_17411946,OQ748453.1,2023-03-24,Whatcom County
USA/WA-PHL-032429/2023,GISAID; GenBank,EPI_ISL_17012742,PQ372411.1,2023-01-27,Whatcom County
USA/WA-PHL-032921/2023,GISAID; GenBank,EPI_ISL_17258727,PQ386143.1,2023-02-28,Whatcom County
USA/WA-PHL-032755/2023,GISAID; GenBank,EPI_ISL_17258690,PQ386001.1,2023-02-12,Whatcom County
USA/WA-PHL-032533/2023,GISAID; GenBank,EPI_ISL_17012837,PQ372506.1,2023-01-31,Whatcom County
USA/WA-PHL-033188/2023,GISAID; GenBank,EPI_ISL_17977982,OR098828.1,2023-05-18,Whatcom County
USA/WA-PHL-032063/2023,GISAID; GenBank,EPI_ISL_16755999,PQ372083.1,2023-01-13,Whatcom County
USA/WA-PHL-032444/2023,GISAID; GenBank,EPI_ISL_17012755,PQ372424.1,2023-01-26,Whatcom County
USA/WA-PHL-031990/2023,GISAID; GenBank,EPI_ISL_16755977,PQ372025.1,2023-01-09,Whatcom County
USA/WA-CDC-QDX84335967/2023,GISAID; GenBank,EPI_ISL_18374698,OR655433.1,2023-08-22,Whatcom County
USA/WA-CDC-UW23092736300/2023,GISAID; GenBank,EPI_ISL_18379350,OR660526.1,2023-09-27,Whatcom County
USA/WA-CDC-UW24020452793/2024,GISAID; GenBank,EPI_ISL_18895654,PP335288.1,2024-02-04,Whatcom County
USA/WA-PHL-033095/2023,GISAID,EPI_ISL_17509750,,2023-04-01,Whatcom County
USA/WA-CDC-UW24011298084/2024,GISAID; GenBank,EPI_ISL_18826958,PP188742.1,2024-01-12,Whatcom County
USA/WA-PHL-032557/2023,GISAID; GenBank,EPI_ISL_17012859,PQ372528.1,2023-01-31,Whatcom County
USA/WA-PHL-032005/2023,GISAID; GenBank,EPI_ISL_16755982,PQ372037.1,2023-01-04,Whatcom County
USA/WA-PHL-033092/2023,GISAID,EPI_ISL_17509747,,2023-04-03,Whatcom County
USA/WA-CDC-QDX85770755/2023,GISAID; GenBank,EPI_ISL_18379813,OR662622.1,2023-09-30,Whatcom County
USA/WA-CDC-LC1029147/2023,GISAID; GenBank,EPI_ISL_17321013,OQ699391.1,2023-03-11,Whatcom County
USA/WA-PHL-032914/2023,GISAID; GenBank,EPI_ISL_17258723,PQ386138.1,2023-03-02,Whatcom County
USA/WA-CDC-LC1024857/2023,GISAID; GenBank,EPI_ISL_17237019,OQ642671.1,2023-03-01,Whatcom County
USA/WA-PHL-032045/2023,GISAID; GenBank,EPI_ISL_16710771,OQ836041.1,2023-01-13,Whatcom County
USA/WA-CDC-LC1024852/2023,GISAID; GenBank,EPI_ISL_17236617,OQ642366.1,2023-02-25,Whatcom County
USA/WA-CDC-UW23010192550/2023,GISAID; GenBank,EPI_ISL_16455414,OQ204817.1,2023-01-01,Whatcom County
USA/WA-PHL-032283/2023,GISAID; GenBank,EPI_ISL_16756021,PQ372283.1,2023-01-23,Whatcom County
USA/WA-CDC-QDX46448198/2023,GISAID; GenBank,EPI_ISL_16992330,OQ467264.1,2023-02-04,Whatcom County
USA/WA-CDC-QDX21591802/2024,,,,2024-07-29,Whatcom County
USA/WA-PHL-033110/2023,GISAID; GenBank,EPI_ISL_17637229,PQ372797.1,2023-04-10,Whatcom County
USA/WA-CDC-QDX46877607/2023,GISAID; GenBank,EPI_ISL_17128514,OQ576904.1,2023-02-10,Whatcom County
USA/WA-PHL-031989/2023,GISAID; GenBank,EPI_ISL_16755976,PQ372024.1,2023-01-06,Whatcom County
USA/WA-PHL-032430/2023,GISAID; GenBank,EPI_ISL_17012743,PQ372412.1,2023-01-27,Whatcom County
USA/WA-PHL-032450/2023,GISAID; GenBank,EPI_ISL_17012761,PQ372430.1,2023-01-24,Whatcom County
USA/WA-PHL-032275/2023,GISAID; GenBank,EPI_ISL_16756015,PQ372276.1,2023-01-19,Whatcom County
USA/WA-PHL-032276/2023,GISAID; GenBank,EPI_ISL_16756016,PQ372277.1,2023-01-17,Whatcom County
USA/WA-PHL-032267/2023,GISAID; GenBank,EPI_ISL_16756012,PQ372269.1,2023-01-23,Whatcom County
USA/WA-PHL-032538/2023,GISAID; GenBank,EPI_ISL_17012842,PQ372511.1,2023-01-30,Whatcom County
USA/WA-CDC-LC1040768/2023,GISAID; GenBank,EPI_ISL_17652887,OQ977181.1,2023-04-26,Whatcom County
USA/WA-PHL-032897/2023,GISAID; GenBank,EPI_ISL_17258714,PQ386122.1,2023-02-20,Whatcom County
USA/WA-CDC-LC0989465/2023,GISAID; GenBank,EPI_ISL_16664950,OQ294313.1,2023-01-04,Whatcom County
USA/WA-PHL-032903/2023,GISAID; GenBank,EPI_ISL_17258715,PQ386127.1,2023-02-21,Whatcom County
USA/WA-CDC-LC0988130/2023,GISAID; GenBank,EPI_ISL_16665235,OQ294598.1,2023-01-07,Whatcom County
USA/WA-CDC-LC0993332/2023,GISAID; GenBank,EPI_ISL_16709803,OQ344799.1,2023-01-06,Whatcom County
USA/WA-CDC-UW23030975184/2023,GISAID; GenBank,EPI_ISL_17253261,OQ674658.1,2023-03-09,Whatcom County
USA/WA-CDC-LC1127466/2024,,,,2024-12-18,Whatcom County
USA/WA-PHL-032549/2023,GISAID; GenBank,EPI_ISL_17012851,PQ372520.1,2023-02-01,Whatcom County
USA/WA-PHL-033142/2023,GISAID; GenBank,EPI_ISL_17637253,PQ372823.1,2023-04-28,Whatcom County
USA/WA-CDC-UW23100914100/2023,GISAID; GenBank,EPI_ISL_18430307,OR722034.1,2023-10-09,Whatcom County
USA/WA-PHL-032891/2023,GISAID; GenBank,EPI_ISL_17258711,PQ386117.1,2023-02-20,Whatcom County
USA/WA-CDC-LC0998962/2023,GISAID; GenBank,EPI_ISL_16860306,OQ403538.1,2023-01-23,Whatcom County
USA/WA-PHL-033091/2023,GISAID; GenBank,EPI_ISL_17509746,PQ372781.1,2023-04-02,Whatcom County
USA/WA-PHL-033124/2023,GISAID; GenBank,EPI_ISL_17637241,PQ372810.1,2023-04-12,Whatcom County
USA/WA-UW-24021421303/2024,GISAID; GenBank,EPI_ISL_19138368,PP496923.1,2024-02-14,Whatcom County
USA/WA-CDC-LC1052303/2023,GISAID; GenBank,EPI_ISL_18212703,OR511108.1,2023-08-12,Whatcom County
USA/WA-CDC-UW23032316496/2023,GISAID; GenBank,EPI_ISL_17395779,OQ833339.1,2023-03-23,Whatcom County
USA/WA-PHL-033098/2023,GISAID; GenBank,EPI_ISL_17509753,PQ372785.1,2023-03-31,Whatcom County
USA/WA-PHL-032920/2023,GISAID; GenBank,EPI_ISL_17258726,PQ386142.1,2023-03-07,Whatcom County
USA/WA-PHL-032046/2023,GISAID; GenBank,EPI_ISL_16710772,OQ836042.1,2023-01-11,Whatcom County
USA/WA-PHL-033137/2023,GISAID; GenBank,EPI_ISL_17637250,PQ372819.1,2023-04-25,Whatcom County
USA/WA-PHL-033134/2023,GISAID; GenBank,EPI_ISL_17637247,PQ372816.1,2023-04-19,Whatcom County
USA/WA-CDC-QDX81064679/2023,GISAID; GenBank,EPI_ISL_17856087,OR125785.1,2023-05-30,Whatcom County
USA/WA-PHL-032431/2023,GISAID; GenBank,EPI_ISL_17012744,PQ372413.1,2023-01-27,Whatcom County
USA/WA-CDC-QDX81456355/2023,GISAID; GenBank,EPI_ISL_17856723,OR186873.1,2023-06-08,Whatcom County
USA/WA-PHL-032025/2023,GISAID; GenBank,EPI_ISL_16756030,PQ372048.1,2023-01-01,Whatcom County
USA/WA-CDC-LC1118202/2024,GISAID; GenBank,EPI_ISL_19394429,PQ302660.1,2024-08-21,Whatcom County
USA/WA-CDC-UW23031552021/2023,GISAID; GenBank,EPI_ISL_17322197,OQ704461.1,2023-03-15,Whatcom County
USA/WA-PHL-033136/2023,GISAID; GenBank,EPI_ISL_17637249,PQ372818.1,2023-04-18,Whatcom County
USA/WA-PHL-033111/2023,GISAID; GenBank,EPI_ISL_17637230,PQ372798.1,2023-04-04,Whatcom County
USA/WA-PHL-032049/2023,GISAID; GenBank,EPI_ISL_16710775,OQ836045.1,2023-01-16,Whatcom County
USA/WA-PHL-033061/2023,GISAID; GenBank,EPI_ISL_17509723,PQ372757.1,2023-03-23,Whatcom County
USA/WA-PHL-032553/2023,GISAID; GenBank,EPI_ISL_17012855,PQ372524.1,2023-01-31,Whatcom County
USA/WA-CDC-LC1016250/2023,GISAID; GenBank,EPI_ISL_17224087,OQ631304.1,2023-02-15,Whatcom County
USA/WA-CDC-QDX46179264/2023,GISAID; GenBank,EPI_ISL_16917904,OQ431189.1,2023-01-27,Whatcom County
USA/WA-PHL-033144/2023,GISAID; GenBank,EPI_ISL_17637255,PQ372825.1,2023-04-28,Whatcom County
USA/WA-PHL-032439/2023,GISAID; GenBank,EPI_ISL_17012750,PQ372419.1,2023-01-30,Whatcom County
USA/WA-UW-23081465657/2023,,,,2023-08-14,Whatcom County
USA/WA-PHL-031995/2023,GISAID; GenBank,EPI_ISL_16755978,PQ372029.1,2023-01-04,Whatcom County
USA/WA-CDC-UW24013093421/2024,GISAID; GenBank,EPI_ISL_18895031,PP320561.1,2024-01-30,Whatcom County
USA/WA-PHL-032017/2023,GISAID,EPI_ISL_16755988,,2023-01-06,Whatcom County
USA/WA-PHL-032786/2023,GISAID; GenBank,EPI_ISL_17258696,PQ386027.1,2023-02-14,Whatcom County
USA/WA-PHL-032893/2023,GISAID; GenBank,EPI_ISL_17258712,PQ386119.1,2023-02-24,Whatcom County
USA/WA-PHL-032043/2023,GISAID; GenBank,EPI_ISL_16710770,OQ836040.1,2023-01-10,Whatcom County
USA/WA-CDC-QDX46992409/2023,GISAID; GenBank,EPI_ISL_17142578,OQ578917.1,2023-02-18,Whatcom County
USA/WA-PHL-031771/2022,GISAID; GenBank,EPI_ISL_16710623,OQ835886.1,2022-12-28,Whatcom County
USA/WA-PHL-032006/2023,GISAID,EPI_ISL_16755983,,2023-01-04,Whatcom County
USA/WA-CDC-LC1113293LC1113293/2024,,,,2024-07-29,Whatcom County
USA/WA-CDC-LC1005490/2023,GISAID; GenBank,EPI_ISL_16917128,OQ432853.1,2023-02-03,Whatcom County
USA/WA-PHL-032057/2023,GISAID; GenBank,EPI_ISL_16755996,PQ372078.1,2023-01-16,Whatcom County
USA/WA-PHL-032018/2023,GISAID; GenBank,EPI_ISL_16755989,PQ372043.1,2023-01-04,Whatcom County
USA/WA-PHL-032810/2023,GISAID; GenBank,EPI_ISL_17258709,PQ386047.1,2023-02-15,Whatcom County
USA/WA-PHL-032913/2023,GISAID; GenBank,EPI_ISL_17258722,PQ386137.1,2023-03-02,Whatcom County
USA/WA-PHL-032261/2023,GISAID; GenBank,EPI_ISL_16756008,PQ372264.1,2023-01-22,Whatcom County
USA/WA-PHL-032792/2023,GISAID; GenBank,EPI_ISL_17258699,PQ386031.1,2023-02-15,Whatcom County
USA/WA-PHL-032548/2023,GISAID; GenBank,EPI_ISL_17012850,PQ372519.1,2023-01-31,Whatcom County
USA/WA-CDC-QDX84650494/2023,GISAID; GenBank,EPI_ISL_18276404,OR564992.1,2023-08-31,Whatcom County
USA/WA-PHL-032937/2023,GISAID,EPI_ISL_17509643,,2023-03-09,Whatcom County
USA/WA-PHL-033056/2023,GISAID; GenBank,EPI_ISL_17637227,PQ372752.1,2023-03-24,Whatcom County
USA/WA-CDC-QDX46877618/2023,GISAID; GenBank,EPI_ISL_17134733,OQ577877.1,2023-02-14,Whatcom County
USA/WA-PHL-033089/2023,GISAID; GenBank,EPI_ISL_17509744,PQ372779.1,2023-04-03,Whatcom County
USA/WA-PHL-033187/2023,GISAID; GenBank,EPI_ISL_17977981,OR098827.1,2023-05-18,Whatcom County
USA/WA-PHL-032050/2023,GISAID; GenBank,EPI_ISL_16710776,OQ836046.1,2023-01-15,Whatcom County
USA/WA-PHL-032545/2023,GISAID; GenBank,EPI_ISL_17012848,PQ372517.1,2023-02-01,Whatcom County
USA/WA-PHL-032919/2023,GISAID; GenBank,EPI_ISL_17258725,PQ386141.1,2023-03-07,Whatcom County
USA/WA-PHL-033145/2023,GISAID; GenBank,EPI_ISL_17637256,PQ372826.1,2023-04-26,Whatcom County
USA/WA-PHL-032286/2023,GISAID; GenBank,EPI_ISL_16756022,PQ372285.1,2023-01-20,Whatcom County
USA/WA-PHL-032449/2023,GISAID; GenBank,EPI_ISL_17012760,PQ372429.1,2023-01-24,Whatcom County
USA/WA-PHL-032751/2023,GISAID; GenBank,EPI_ISL_17258688,PQ385998.1,2023-02-09,Whatcom County
USA/WA-PHL-032065/2023,GISAID; GenBank,EPI_ISL_16756001,PQ372085.1,2023-01-10,Whatcom County
USA/WA-CDC-LC1021636/2023,GISAID; GenBank,EPI_ISL_17196943,OQ614275.1,2023-02-21,Whatcom County
USA/WA-PHL-032265/2023,GISAID; GenBank,EPI_ISL_16756010,PQ372267.1,2023-01-18,Whatcom County
USA/WA-UW-24021312988/2024,GISAID; GenBank,EPI_ISL_19138335,PP496921.1,2024-02-13,Whatcom County
USA/WA-CDC-UW23052245263/2023,GISAID; GenBank,EPI_ISL_17768855,OR098942.1,2023-05-22,Whatcom County
USA/WA-PHL-033060/2023,GISAID; GenBank,EPI_ISL_17509722,PQ372756.1,2023-03-27,Whatcom County
USA/WA-PHL-032544/2023,GISAID; GenBank,EPI_ISL_17012847,PQ372516.1,2023-02-01,Whatcom County
USA/WA-CDC-QDX46179433/2023,GISAID; GenBank,EPI_ISL_16906551,OQ425632.1,2023-01-25,Whatcom County
USA/WA-PHL-032797/2023,GISAID; GenBank,EPI_ISL_17258701,PQ386036.1,2023-02-16,Whatcom County
USA/WA-CDC-LC1004730/2023,GISAID; GenBank,EPI_ISL_16916410,OQ432269.1,2023-01-31,Whatcom County
USA/WA-PHL-033007/2023,GISAID,EPI_ISL_17509676,,2023-03-15,Whatcom County
USA/WA-CDC-QDX87824479/2023,GISAID; GenBank,EPI_ISL_18592897,OR897656.1,2023-11-16,Whatcom County
USA/WA-PHL-033117/2023,GISAID; GenBank,EPI_ISL_17637234,PQ372803.1,2023-04-17,Whatcom County
USA/WA-PHL-033185/2023,GISAID; GenBank,EPI_ISL_17977979,OR098825.1,2023-05-16,Whatcom County
USA/WA-CDC-LC1021987/2023,GISAID; GenBank,EPI_ISL_17197258,OQ614590.1,2023-02-24,Whatcom County
USA/WA-PHL-032066/2023,GISAID; GenBank,EPI_ISL_16756002,PQ372086.1,2023-01-11,Whatcom County
USA/WA-CDC-UW23081474817/2023,GISAID; GenBank,EPI_ISL_18133742,OR480852.1,2023-08-14,Whatcom County
USA/WA-PHL-032745/2023,GISAID; GenBank,EPI_ISL_17258683,PQ385992.1,2023-02-08,Whatcom County
USA/WA-CDC-LC1016249/2023,GISAID; GenBank,EPI_ISL_17223936,OQ631159.1,2023-02-13,Whatcom County
USA/WA-PHL-032757/2023,GISAID; GenBank,EPI_ISL_17258692,PQ386003.1,2023-02-09,Whatcom County
USA/WA-CDC-QDX46179434/2023,GISAID; GenBank,EPI_ISL_16906468,OQ425549.1,2023-01-25,Whatcom County
USA/WA-PHL-032796/2023,GISAID; GenBank,EPI_ISL_17258700,PQ386035.1,2023-02-17,Whatcom County
USA/WA-CDC-LC1028161/2023,GISAID; GenBank,EPI_ISL_17278711,OQ681522.1,2023-03-05,Whatcom County
USA/WA-CDC-UW23122006265/2023,GISAID; GenBank,EPI_ISL_18730761,PP077320.1,2023-12-20,Whitman County
USA/WA-PHL-033169/2023,GISAID; GenBank,EPI_ISL_17637277,PQ372848.1,2023-04-22,Whitman County
USA/WA-PHL-032976/2023,GISAID; GenBank,EPI_ISL_17258739,PQ386162.1,2023-02-16,Whitman County
USA/WA-PHL-035224/2024,GISAID; GenBank,EPI_ISL_19122239,PP845893.1,2024-01-23,Whitman County
USA/WA-UW-23011864189/2023,GISAID; GenBank,EPI_ISL_17578916,OQ378011.1,2023-01-18,Yakima County
USA/WA-UW-23011908360/2023,GISAID; GenBank,EPI_ISL_17579970,OQ377981.1,2023-01-19,Yakima County
USA/WA-UW-23011747430/2023,GISAID; GenBank,EPI_ISL_17579903,OQ377929.1,2023-01-17,Yakima County
USA/WA-UW-23011964847/2023,GISAID; GenBank,EPI_ISL_17579975,OQ377946.1,2023-01-19,Yakima County
USA/WA-UW-23011969261/2023,GISAID; GenBank,EPI_ISL_17579666,OQ377989.1,2023-01-19,Yakima County
USA/WA-CDC-LC1029155/2023,GISAID; GenBank,EPI_ISL_17321181,OQ699559.1,2023-03-14,Yakima County
USA/WA-PHL-032480/2023,GISAID; GenBank,EPI_ISL_17012786,PQ372454.1,2023-01-10,Yakima County
USA/WA-CDC-UW24021242595/2024,GISAID; GenBank,EPI_ISL_18942392,PP388272.1,2024-02-12,Yakima County
USA/WA-CDC-LC1065912/2023,GISAID; GenBank,EPI_ISL_18531580,OR814334.1,2023-10-09,Yakima County
USA/WA-PHL-035222/2024,GISAID; GenBank,EPI_ISL_19122237,PP845891.1,2024-01-20,Yakima County
USA/WA-UW-23011893114/2023,GISAID; GenBank,EPI_ISL_17580721,OQ377959.1,2023-01-18,Yakima County
USA/WA-CDC-LC1014294/2023,GISAID; GenBank,EPI_ISL_17145884,OQ582625.1,2023-02-08,Yakima County
USA/WA-UW-23011959794/2023,GISAID; GenBank,EPI_ISL_17579628,OQ377984.1,2023-01-19,Yakima County
USA/WA-CDC-UW23021566603/2023,GISAID; GenBank,EPI_ISL_17078822,OQ589187.1,2023-02-15,Yakima County
USA/WA-UW-23012865753/2023,GISAID; GenBank,EPI_ISL_17579879,OQ389942.1,2023-01-28,Yakima County
USA/WA-PHL-035008/2023,GISAID; GenBank,EPI_ISL_18604064,OR957913.1,2023-09-23,Yakima County
USA/WA-CDC-UW24022783253/2024,GISAID; GenBank,EPI_ISL_18978020,PP474690.1,2024-02-27,Yakima County
USA/WA-CDC-LC1014419/2023,GISAID; GenBank,EPI_ISL_17145859,OQ582600.1,2023-02-07,Yakima County
USA/WA-CDC-LC1017679/2023,GISAID; GenBank,EPI_ISL_17224221,OQ631427.1,2023-02-16,Yakima County
USA/WA-PHL-032863/2023,GISAID; GenBank,EPI_ISL_17258800,PQ386091.1,2023-02-15,Yakima County
USA/WA-CDC-LC1035421/2023,GISAID; GenBank,EPI_ISL_17465633,OQ808454.1,2023-03-30,Yakima County
USA/WA-CDC-LC1067078/2023,GISAID; GenBank,EPI_ISL_18580260,OR864847.1,2023-10-17,Yakima County
USA/WA-UW-23011890416/2023,GISAID; GenBank,EPI_ISL_17578935,OQ377973.1,2023-01-18,Yakima County
USA/WA-CDC-LC1069065/2023,GISAID; GenBank,EPI_ISL_18528866,OR833456.1,2023-10-30,Yakima County
USA/WA-PHL-032878/2023,GISAID; GenBank,EPI_ISL_17258801,PQ386106.1,2023-02-21,Yakima County
USA/WA-UW-23021574891/2023,GISAID; GenBank,EPI_ISL_17578841,OQ568154.1,2023-02-15,Yakima County
USA/WA-CDC-LC0995678/2023,GISAID; GenBank,EPI_ISL_16742059,OQ353391.1,2023-01-15,Yakima County
USA/WA-CDC-LC1025173/2023,GISAID; GenBank,EPI_ISL_17237200,OQ642778.1,2023-03-01,Yakima County
USA/WA-UW-23012152400/2023,GISAID; GenBank,EPI_ISL_17580727,OQ428792.1,2023-01-21,Yakima County
USA/WA-UW-23012510568/2023,GISAID; GenBank,EPI_ISL_17578915,OQ428795.1,2023-01-25,Yakima County
USA/WA-UW-23011730862/2023,GISAID; GenBank,EPI_ISL_17580235,OQ377986.1,2023-01-17,Yakima County
USA/WA-UW-23011810269/2023,GISAID; GenBank,EPI_ISL_17579221,OQ377966.1,2023-01-18,Yakima County
USA/WA-CDC-UW23092708045/2023,GISAID; GenBank,EPI_ISL_18379352,OR660528.1,2023-09-27,Yakima County
USA/WA-CDC-LC1010277/2023,GISAID; GenBank,EPI_ISL_17019536,OQ510458.1,2023-02-08,Yakima County
USA/WA-CDC-UW23120627264/2023,GISAID; GenBank,EPI_ISL_18691629,PP000282.1,2023-12-06,Yakima County
USA/WA-CDC-LC1007901/2023,GISAID; GenBank,EPI_ISL_16957544,OQ449804.1,2023-02-03,Yakima County
USA/WA-PHL-032316/2023,GISAID; GenBank,EPI_ISL_16755963,PQ372307.1,2023-01-07,Yakima County
USA/WA-CDC-LC1021975/2023,GISAID; GenBank,EPI_ISL_17197014,OQ614346.1,2023-02-22,Yakima County
USA/WA-CDC-LC1102370/2024,,,,2024-03-15,Yakima County
USA/WA-CDC-LC0994414/2023,GISAID; GenBank,EPI_ISL_16741885,OQ353239.1,2023-01-11,Yakima County
USA/WA-CDC-LC1010267/2023,GISAID; GenBank,EPI_ISL_17019419,OQ510359.1,2023-02-07,Yakima County
USA/WA-UW-23011981349/2023,GISAID; GenBank,EPI_ISL_17579223,OQ377997.1,2023-01-19,Yakima County
USA/WA-PHL-035000/2023,GISAID; GenBank,EPI_ISL_18604057,OR957906.1,2023-10-17,Yakima County
USA/WA-UW-23022581295/2023,GISAID; GenBank,EPI_ISL_17580709,OQ592840.1,2023-02-25,Yakima County
USA/WA-CDC-LC1029139/2023,GISAID; GenBank,EPI_ISL_17321179,OQ699557.1,2023-03-14,Yakima County
USA/WA-CDC-UW24010256711/2024,GISAID; GenBank,EPI_ISL_18779079,PP106577.1,2024-01-02,Yakima County
USA/WA-PHL-032312/2023,GISAID; GenBank,EPI_ISL_16755962,PQ372305.1,2023-01-05,Yakima County
USA/WA-UW-23011842405/2023,GISAID; GenBank,EPI_ISL_17580469,OQ377948.1,2023-01-18,Yakima County
USA/WA-CDC-LC0985747/2023,GISAID; GenBank,EPI_ISL_16670006,OQ258362.1,2023-01-03,Yakima County
USA/WA-CDC-LC0995668/2023,GISAID; GenBank,EPI_ISL_16742056,OQ353388.1,2023-01-15,Yakima County
USA/WA-UW-24012666168/2024,GISAID; GenBank,EPI_ISL_19138446,PP492676.1,2024-01-26,Yakima County
USA/WA-CDC-LC1046046/2023,GISAID; GenBank,EPI_ISL_18005309,OR294400.1,2023-06-28,Yakima County
USA/WA-CDC-LC1119118/2024,GISAID; GenBank,EPI_ISL_19419573,PQ333345.1,2024-08-27,Yakima County
USA/WA-PHL-035263/2024,GISAID; GenBank,EPI_ISL_19122249,PP845903.1,2024-03-02,Yakima County
USA/WA-CDC-LC1018252/2023,GISAID; GenBank,EPI_ISL_17224463,OQ631653.1,2023-02-17,Yakima County
USA/WA-CDC-LC1073945/2023,GISAID; GenBank,EPI_ISL_18691195,OR985480.1,2023-12-05,Yakima County
USA/WA-PHL-032532/2023,GISAID; GenBank,EPI_ISL_17012836,PQ372505.1,2023-02-02,Yakima County
USA/WA-PHL-032704/2023,GISAID; GenBank,EPI_ISL_17012975,PQ372652.1,2023-02-01,Yakima County
USA/WA-CDC-LC1032920/2023,GISAID; GenBank,EPI_ISL_17393667,OQ734045.1,2023-03-22,Yakima County
USA/WA-PHL-032531/2023,GISAID; GenBank,EPI_ISL_17012835,PQ372504.1,2023-02-02,Yakima County
USA/WA-CDC-LC1028176/2023,GISAID; GenBank,EPI_ISL_17278733,OQ681544.1,2023-03-06,Yakima County
USA/WA-PHL-033023/2023,GISAID; GenBank,EPI_ISL_17509691,PQ372722.1,2023-02-04,Yakima County
USA/WA-CDC-LC1032909/2023,GISAID; GenBank,EPI_ISL_17393427,OQ733825.1,2023-03-21,Yakima County
USA/WA-UW-23012071334/2023,GISAID; GenBank,EPI_ISL_17579898,OQ389822.1,2023-01-20,Yakima County
USA/WA-UW-23011440426/2023,GISAID; GenBank,EPI_ISL_17580087,OQ346218.1,2023-01-14,Yakima County
USA/WA-CDC-LC1115915/2024,GISAID; GenBank,EPI_ISL_19379311,PQ277621.1,2024-08-16,Yakima County
USA/WA-PHL-033154/2023,GISAID; GenBank,EPI_ISL_17637265,PQ372835.1,2023-04-02,Yakima County
USA/WA-UW-23013007863/2023,GISAID; GenBank,EPI_ISL_17579115,OQ389952.1,2023-01-30,Yakima County
USA/WA-UW-23010713941/2023,GISAID; GenBank,EPI_ISL_17580031,OQ306086.1,2023-01-07,Yakima County
USA/WA-UW-23012016931/2023,GISAID; GenBank,EPI_ISL_17579620,OQ389836.1,2023-01-20,Yakima County
USA/WA-PHL-032527/2023,GISAID; GenBank,EPI_ISL_17012831,PQ372500.1,2023-02-02,Yakima County
USA/WA-CDC-UW23021636175/2023,GISAID; GenBank,EPI_ISL_17078799,OQ589214.1,2023-02-16,Yakima County
USA/WA-PHL-032985/2023,GISAID; GenBank,EPI_ISL_17258802,PQ386171.1,2023-03-01,Yakima County
USA/WA-UW-23013008195/2023,GISAID; GenBank,EPI_ISL_17578813,OQ389951.1,2023-01-30,Yakima County
USA/WA-CDC-LC1029184/2023,GISAID; GenBank,EPI_ISL_17321017,OQ699395.1,2023-03-11,Yakima County
USA/WA-UW-23012025126/2023,GISAID; GenBank,EPI_ISL_17579504,OQ428786.1,2023-01-20,Yakima County
USA/WA-PHL-032520/2023,GISAID; GenBank,EPI_ISL_17012824,PQ372493.1,2023-01-31,Yakima County
USA/WA-CDC-UW23031166089/2023,GISAID; GenBank,EPI_ISL_17322280,OQ704364.1,2023-03-11,Yakima County
USA/WA-PHL-035264/2024,GISAID; GenBank,EPI_ISL_19122250,PP845904.1,2024-03-06,Yakima County
USA/WA-CDC-UW23102864754/2023,GISAID; GenBank,EPI_ISL_18533853,OR815617.1,2023-10-28,Yakima County
USA/WA-CDC-LC1017555/2023,GISAID; GenBank,EPI_ISL_17223915,OQ631142.1,2023-02-13,Yakima County
USA/WA-PHL-033082/2023,GISAID; GenBank,EPI_ISL_18040095,OR098804.1,2023-03-27,Yakima County
USA/WA-PHL-032529/2023,GISAID; GenBank,EPI_ISL_17012833,PQ372502.1,2023-02-02,Yakima County
USA/WA-PHL-035137/2023,GISAID; GenBank,EPI_ISL_18703953,PQ385945.1,2023-11-28,Yakima County
USA/WA-CDC-UW23032056023/2023,GISAID; GenBank,EPI_ISL_17395856,OQ833249.1,2023-03-20,Yakima County
USA/WA-CDC-LC1024833/2023,GISAID; GenBank,EPI_ISL_17236750,OQ642483.1,2023-02-27,Yakima County
USA/WA-CDC-QDX86356466/2023,GISAID; GenBank,EPI_ISL_18532848,OR813600.1,2023-10-13,Yakima County
USA/WA-CDC-LC1018253/2023,GISAID; GenBank,EPI_ISL_17224462,OQ631652.1,2023-02-17,Yakima County
USA/WA-PHL-032994/2023,GISAID; GenBank,EPI_ISL_17258803,PQ386180.1,2023-03-06,Yakima County
USA/WA-UW-23012494123/2023,GISAID; GenBank,EPI_ISL_17579085,OQ428794.1,2023-01-24,Yakima County
USA/WA-CDC-LC1024879/2023,GISAID; GenBank,EPI_ISL_17236919,OQ642571.1,2023-02-28,Yakima County
USA/WA-CDC-LC1061237/2023,GISAID; GenBank,EPI_ISL_18322980,OR608087.1,2023-09-14,Yakima County
USA/WA-UW-23013048495/2023,GISAID; GenBank,EPI_ISL_17579843,OQ389950.1,2023-01-30,Yakima County
USA/WA-CDC-LC1005481/2023,GISAID; GenBank,EPI_ISL_16917127,OQ432852.1,2023-02-03,Yakima County
USA/WA-PHL-032031/2023,GISAID; GenBank,EPI_ISL_16710758,OQ836028.1,2023-01-03,Yakima County
USA/WA-UW-24012191339/2024,GISAID; GenBank,EPI_ISL_19138309,PP492648.1,2024-01-21,Yakima County
USA/WA-CDC-UW23123069607/2023,GISAID; GenBank,EPI_ISL_18779072,PP106570.1,2023-12-30,Yakima County
USA/WA-UW-23011819094/2023,GISAID; GenBank,EPI_ISL_17579466,OQ377998.1,2023-01-18,Yakima County
